;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Descrição do teste;Resultado esperado;Status;Link para o relatório de bug;;;;;;;;;;;;;;;;;;;;;;
POST/api/v1/courier;;;;;;;;;;;;;;;;;;;;;;;;;
Criar um entregador;201 Created;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
Tentar criar um entregador com o mesmo login;"409 Conflict - ""message"": ""This login is not available. Try another.""";APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""login"" com letras";201 Created;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""login"" com 1 caracter";400 Bad Request;REPROVADO;https://carolgonzaga.atlassian.net/browse/ADAUS-1;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""login"" com 2 caracteres";201 Created;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""login"" com 3 caracteres";201 Created;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""login"" com 9 caracteres";201 Created;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""login"" com 10 caracteres";201 Created;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""login"" com 11 caracteres";400 Bad Request;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""login"" com caracter especial";400 Bad Request;REPROVADO;https://carolgonzaga.atlassian.net/browse/ADAUS-2;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""login"" com número";400 Bad Request;REPROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""login"" vazio";400 Bad Request;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador sem o parâmetro ""login""";400 Bad Request;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""password"" com números";201 Created;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""password"" com 3 caracteres
";400 Bad Request;REPROVADO;https://carolgonzaga.atlassian.net/browse/ADAUS-3;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""password"" com 4 caracteres";201 Created;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""password"" com 5 caracteres";400 Bad Request;REPROVADO;https://carolgonzaga.atlassian.net/browse/ADAUS-4;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""password"" com caracter especial";400 Bad Request;REPROVADO;https://carolgonzaga.atlassian.net/browse/ADAUS-5;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""password"" com letras";400 Bad Request;REPROVADO;https://carolgonzaga.atlassian.net/browse/ADAUS-6;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador com o parâmetro ""password"" vazio";400 Bad Request;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
"Criar um entregador sem o parâmetro ""password""";400 Bad Request;APROVADO;;;;;;;;;;;;;;;;;;;;;;;
